Ganado,Duracion
True,0.0009980201721191406
False,0.0010001659393310547
False,0.0009987354278564453
True,0.002000093460083008
False,0.0020003318786621094
False,0.0010001659393310547
False,0.0009996891021728516
False,0.002078533172607422
False,0.0010023117065429688
False,0.000997781753540039
False,0.0020012855529785156
True,0.0009987354278564453
True,0.0010001659393310547
True,0.0010004043579101562
False,0.0020024776458740234
True,0.000997304916381836
True,0.0010006427764892578
False,0.0019996166229248047
True,0.0009996891021728516
False,0.0020008087158203125
True,0.0010020732879638672
False,0.0009982585906982422
False,0.0020635128021240234
True,0.0010004043579101562
True,0.0010001659393310547
True,0.002000570297241211
False,0.0010001659393310547
False,0.0009992122650146484
True,0.002000093460083008
False,0.0010635852813720703
False,0.0010020732879638672
False,0.002000093460083008
False,0.0009984970092773438
False,0.002000093460083008
True,0.0010006427764892578
False,0.0009989738464355469
False,0.0010020732879638672
True,0.0010750293731689453
True,0.0010008811950683594
False,0.002000093460083008
False,0.002002239227294922
False,0.0019979476928710938
True,0.0009992122650146484
True,0.00099945068359375
True,0.0010807514190673828
False,0.0010013580322265625
False,0.001003265380859375
True,0.000997304916381836
False,0.0009999275207519531
True,0.0009984970092773438
False,0.0010013580322265625
True,0.0009992122650146484
False,0.0010023117065429688
False,0.0019981861114501953
False,0.001001119613647461
False,0.0010008811950683594
True,0.0009987354278564453
False,0.0020003318786621094
True,0.0009999275207519531
True,0.0010037422180175781
True,0.0009958744049072266
True,0.0009999275207519531
False,0.0020029544830322266
False,0.0009999275207519531
False,0.0010001659393310547
True,0.002000093460083008
False,0.0009992122650146484
True,0.001998424530029297
True,0.0009980201721191406
False,0.0010023117065429688
False,0.0011050701141357422
True,0.001999378204345703
False,0.0010004043579101562
False,0.0009996891021728516
False,0.0020020008087158203
False,0.0019991397857666016
True,0.0009992122650146484
False,0.00109100341796875
False,0.0009996891021728516
False,0.0009987354278564453
False,0.001001596450805664
False,0.0009992122650146484
False,0.0020003318786621094
False,0.0009999275207519531
False,0.00099945068359375
True,0.0009996891021728516
False,0.0020003318786621094
True,0.0009996891021728516
False,0.0009999275207519531
True,0.0009999275207519531
False,0.0009999275207519531
True,0.0020008087158203125
False,0.0009999275207519531
False,0.00099945068359375
False,0.002084970474243164
False,0.0009984970092773438
False,0.0010001659393310547
True,0.0009996891021728516
True,0.0020003318786621094
True,0.0010001659393310547
